intent_pattern,capability_family,confidence,example_phrase,feature_signal,semantic_description
(installier|install|apt-get|apk add|pip install|npm install),container,0.95,Installiere curl und jq im Container,system,Package installation and environment provisioning
(dockerfile|container image|image bauen|build image),container,0.94,Baue ein Container-Image für den Worker-Service,system,Container image build and packaging requests
(shell command|bash script|terminal kommando|cli ausführen),container,0.90,Führe dieses Bash-Kommando im isolierten Environment aus,system,Command execution in terminal-like runtime
(datei(en)? entpacken|unzip|tar -x|extract archive),container,0.88,Entpacke das Release-Archiv und prüfe die Struktur,filesystem,Archive extraction and filesystem manipulation
(port freigeben|port öffnen|expose port|localhost:),container,0.87,Expose Port 8080 für den lokalen Test,network,Networking or port exposure inside runtime
(ffmpeg|imagemagick|pandoc|system package),container,0.91,Nutze ffmpeg um das Video in MP4 umzuwandeln,system,Use of native binaries or OS-level tooling
(mehrere dateien verarbeiten|batch files|ordner traversieren),container,0.84,Verarbeite alle CSV-Dateien im Eingabeordner,filesystem,Batch file processing over directories
(sandbox|isolierte umgebung|isolated environment),container,0.86,Starte das in einer isolierten Umgebung,system,Need for isolated execution environment
(clone repo|git clone|repository klonen),container,0.85,Clone das Repo und führe die Tests aus,filesystem,Repository checkout plus local execution
(system-level|os-level|betriebssystemnah),container,0.92,Das braucht OS-level Zugriff auf Dateien und Prozesse,system,Explicit request for OS or process level operations
(skript ausführen|run script|python script),container,0.83,Führe das Python-Script gegen die lokalen Dateien aus,execution,Single-run script execution in runtime
(convert file|datei konvertieren|transcode),container,0.82,Konvertiere die Markdown-Datei mit pandoc zu HTML,filesystem,File conversion using local tools
(ressourcen limit|memory limit|cpu limit),container,0.80,Starte den Job mit begrenztem RAM,system,Execution with explicit compute/resource constraints
(temp dir|tmp ordner|working directory),container,0.79,Lege die Zwischendateien in einem tmp-Ordner ab,filesystem,Work with ephemeral directories and temp outputs
(dependency conflict|native dependency|shared library),container,0.89,Löse den Native-Dependency-Konflikt im Build,system,Native dependency or linker issue handling
(container|docker|podman) .* (ausführen|run|start),container,0.93,Starte den Container und prüfe die Logs,system,Direct container lifecycle control request
(verwende den .* skill|use the .* skill),skill,0.95,Verwende den PDF-Skill um die Datei zu verarbeiten,tooling,Explicit invocation of a named skill/capability
(pdf zusammenfassen|summarize pdf|aus pdf extrahieren),skill,0.92,Fasse das PDF auf Deutsch zusammen,document,Document-specific workflow usually mapped to a skill
(erstelle slides|make slides|präsentation erstellen),skill,0.93,Erstelle Slides für das Kickoff-Meeting,presentation,Slide generation workflow best handled by a skill
